state,year,fips,fatalityrate,sb_usage,speed65,speed70,drinkage21,ba08,income,age,primary,secondary
CT,1991,9,0.01164188,0.61000001,1,0,1,0,26721,36.820641,1,0
CT,1992,9,0.011187119,0.70999998,0,0,1,0,28345,36.9771,1,0
CT,1993,9,0.012666197,0.70999998,0,0,1,0,29232,37.06562,1,0
CT,1994,9,0.011423097,0.72000003,0,0,1,0,30310,37.160591,1,0
CT,1995,9,0.011303263,0.72000003,0,0,1,0,32073,37.279957,1,0
CT,1996,9,0.011018304,0.62,0,0,1,0,33979,37.427567,1,0
CT,1997,9,0.011873074,0.63999999,0,0,1,0,35863,37.547279,1,0
DC,1983,11,0.021297192,,0,0,0,0,15267,35.723854,0,0
DC,1984,11,0.019912882,,0,0,0,0,16620,35.835728,0,0
DC,1985,11,0.018616196,,0,0,0,0,17531,35.887428,0,0
DC,1986,11,0.013386066,,0,0,1,0,18335,35.891407,0,1
DC,1987,11,0.015736341,,1,0,1,0,19566,35.976639,0,1
DC,1988,11,0.017914832,,1,0,1,0,21782,36.041538,0,1
DC,1989,11,0.02108963,,1,0,1,0,23438,36.116497,0,1
DC,1990,11,0.014088641,0.49000001,1,0,1,0,25646,36.913654,0,1
DC,1991,11,0.018367346,0.49000001,1,0,1,0,27028,36.86105,0,1
DC,1992,11,0.014037058,0.58999997,1,0,1,0,28597,37.041351,0,1
DC,1993,11,0.016355811,0.62,1,0,1,0,29912,37.230858,0,1
DC,1994,11,0.0200116,0.62,1,0,1,0,31212,37.421543,0,1
DC,1995,11,0.016738817,0.63,1,0,1,0,32398,37.650448,0,1
DC,1996,11,0.018697226,0.57999998,1,0,1,0,34213,38.067749,0,1
DC,1997,11,0.018039687,0.66000003,1,0,1,0,35704,38.375671,0,1
DE,1983,10,0.022513304,,0,0,1,0,13159,34.221546,0,0
DE,1984,10,0.025301674,,0,0,1,0,14291,34.422466,0,0
DE,1985,10,0.019384902,,0,0,1,0,15451,34.565941,0,0
DE,1986,10,0.023602916,,0,0,1,0,16257,34.70903,0,0
DE,1987,10,0.023989484,,1,0,1,0,17423,34.91209,0,0
DE,1988,10,0.024984384,,1,0,1,0,18878,35.061348,0,0
DE,1989,10,0.017995656,,1,0,1,0,20563,35.174129,0,0
DE,1990,10,0.021075137,0.44999999,1,0,1,0,21590,35.423889,0,0
DE,1991,10,0.015176313,0.54000002,1,0,1,0,22241,35.491249,0,0
DE,1992,10,0.020313406,0.69999999,1,0,1,0,23004,35.651562,0,1
DE,1993,10,0.015953589,0.63,1,0,1,0,23542,35.844376,0,1
DE,1994,10,0.01594306,0.58999997,1,0,1,0,24465,35.968498,0,1
DE,1995,10,0.016101131,0.63,1,0,1,0,25603,36.240269,0,1
DE,1996,10,0.01513175,0.62,1,0,1,0,27125,36.460094,0,1
DE,1997,10,0.017859373,0.58999997,1,0,1,0,28493,36.598919,0,1
FL,1983,12,0.032845821,,0,0,0,0,12469,38.515419,0,0
FL,1984,12,0.032921907,,0,0,0,0,13476,38.636612,0,0
FL,1985,12,0.032161351,0.22299999,0,0,1,0,14367,38.709858,0,0
FL,1986,12,0.032438442,0.34450001,0,0,1,0,15102,38.735184,0,0
FL,1987,12,0.030260395,0.55150002,1,0,1,0,16001,38.802761,0,1
FL,1988,12,0.029225497,0.47099999,1,0,1,0,17092,38.823399,0,1
FL,1989,12,0.027407074,0.55000001,1,0,1,0,18405,38.874424,0,1
FL,1990,12,0.026282536,0.52999997,1,0,1,0,19127,38.696613,0,1
FL,1991,12,0.021703692,0.52950001,1,0,1,0,19451,38.766312,0,1
FL,1992,12,0.021231553,0.55799997,1,0,1,0,19910,38.835045,0,1
FL,1993,12,0.021881511,0.616,1,0,1,0,21080,38.86478,0,1
FL,1994,12,0.022026576,0.602,1,0,1,1,21761,38.926968,0,1
FL,1995,12,0.021948185,0.58999997,1,1,1,1,22676,38.998173,0,1
FL,1996,12,0.021176271,0.62700003,1,1,1,1,23834,39.102768,0,1
FL,1997,12,0.020782497,0.60000002,1,1,1,1,24799,39.169582,0,1
GA,1983,13,0.026537256,,0,0,0,0,10742,32.933285,0,0
GA,1984,13,0.027928535,,0,0,0,0,12028,33.103386,0,0
GA,1985,13,0.025338372,,0,0,0,0,12928,33.202236,0,0
GA,1986,13,0.02692098,,0,0,1,0,13768,33.302769,0,0
GA,1987,13,0.026520493,0.198,0,0,1,0,14562,33.433662,0,0
GA,1988,13,0.026565161,0.278,1,0,1,0,15591,33.507473,0,1
GA,1989,13,0.021557361,0.38799998,1,0,1,0,16466,33.585865,0,1
GA,1990,13,0.021471972,0.417,1,0,1,0,17385,33.859531,0,1
GA,1991,13,0.019026093,0.45599997,1,0,1,0,17930,33.961891,0,1
GA,1992,13,0.016879749,0.461,1,0,1,0,18888,34.094875,0,1
GA,1993,13,0.017774718,0.57200003,1,0,1,0,19668,34.179443,0,1
GA,1994,13,0.017205574,0.52900004,1,0,1,0,20632,34.303947,0,1
GA,1995,13,0.017427152,0.50700003,1,1,1,0,21696,34.415077,0,1
GA,1996,13,0.017647984,0.611,1,1,1,0,22900,34.525684,0,1
GA,1997,13,0.016899386,0.68000001,1,1,1,1,23882,34.635078,0,1
HI,1983,15,0.024008173,,0,0,0,0,13028,32.71693,0,0
HI,1984,15,0.02121445,,0,0,0,0,13740,32.938465,0,0
HI,1985,15,0.018633541,0.33000001,0,0,0,0,14494,33.160858,0,0
HI,1986,15,0.017214173,0.72600001,0,0,1,0,15325,33.480858,1,0
HI,1987,15,0.019257411,0.66100001,0,0,1,0,16262,33.816185,1,0
HI,1988,15,0.019948781,0.66500002,0,0,1,0,17815,34.105312,1,0
HI,1989,15,0.019225806,0.78300005,0,0,1,0,19395,34.371857,1,0
HI,1990,15,0.021943962,0.80500001,0,0,1,0,21529,34.878975,1,0
HI,1991,15,0.016578656,0.85300004,0,0,1,0,22171,34.979675,1,0
HI,1992,15,0.015993057,0.83099997,0,0,1,0,22906,35.177174,1,0
HI,1993,15,0.016596483,0.84199995,0,0,1,0,23638,35.348145,1,0
HI,1994,15,0.015374921,0.82499999,0,0,1,0,24090,35.526581,1,0
HI,1995,15,0.016362492,0.79900002,0,0,1,0,24848,35.765392,1,0
HI,1996,15,0.018430885,0.80000001,0,0,1,0,25086,36.071239,1,0
HI,1997,15,0.016484208,0.80000001,0,0,1,1,25598,36.396507,1,0
IA,1983,19,0.026143126,,0,0,0,0,11218,35.413769,0,0
IA,1984,19,0.020490803,,0,0,0,0,12460,35.605,0,0
IA,1985,19,0.023475805,0.18000001,0,0,0,0,13042,35.814846,0,0
IA,1986,19,0.02160388,0.43000001,0,0,1,0,13688,36.084934,1,0
IA,1987,19,0.023596693,0.56,1,0,1,0,14511,36.371532,1,0
IA,1988,19,0.025425663,0.55000001,1,0,1,0,14882,36.568565,1,0
IA,1989,19,0.022772584,0.58999997,1,0,1,0,16058,36.668819,1,0
IA,1990,19,0.020223547,0.61000001,1,0,1,0,16885,36.669601,1,0
IA,1991,19,0.021198958,0.68000001,1,0,1,0,17304,36.691963,1,0
IA,1992,19,0.018264649,0.70999998,1,0,1,0,18368,36.85265,1,0
IA,1993,19,0.018273748,0.73000002,1,0,1,0,18461,36.939445,1,0
IA,1994,19,0.018572483,0.73000002,1,0,1,0,19964,37.053326,1,0
IA,1995,19,0.02027937,0.75999999,1,0,1,0,20412,37.204323,1,0
IA,1996,19,0.017299106,0.75,1,0,1,0,22032,37.299576,1,0
IA,1997,19,0.016723841,0.75,1,0,1,0,23120,37.375866,1,0
ID,1983,16,0.031736456,,0,0,0,0,10122,32.172714,0,0
ID,1984,16,0.03115345,,0,0,0,0,10780,32.363319,0,0
ID,1985,16,0.033073928,0.235,0,0,0,0,11331,32.600777,0,0
ID,1986,16,0.033157691,0.27000001,0,0,0,0,11663,32.862232,0,1
ID,1987,16,0.03202365,0.31999999,1,0,1,0,12265,33.190964,0,1
ID,1988,16,0.031622984,0.34,1,0,1,0,13108,33.488564,0,1
ID,1989,16,0.02825932,0.33000001,1,0,1,0,14283,33.700935,0,1
ID,1990,16,0.024774089,0.34999999,1,0,1,0,15346,33.763046,0,1
ID,1991,16,0.025586354,0.46000001,1,0,1,0,15664,33.917278,0,1
ID,1992,16,0.022575252,0.52999997,1,0,1,0,16607,33.994133,0,1
ID,1993,16,0.020033099,0.58999997,1,0,1,0,17699,34.041115,0,1
ID,1994,16,0.021455545,0.54000002,1,0,1,0,18186,34.06496,0,1
ID,1995,16,0.021307742,0.5,1,1,1,0,18961,34.206535,0,1
ID,1996,16,0.019905871,0.5,1,1,1,0,19741,34.354084,0,1
ID,1997,16,0.020108696,0.49000001,1,1,1,1,20392,34.504063,0,1
IL,1983,17,0.022651032,,0,0,1,0,13180,34.360767,0,0
IL,1984,17,0.022128452,,0,0,1,0,14547,34.469303,0,0
IL,1985,17,0.021653211,0.15899999,0,0,1,0,15322,34.600918,0,0
IL,1986,17,0.021525679,0.36200002,0,0,1,0,16106,34.712357,0,1
IL,1987,17,0.021833254,0.373,1,0,1,0,17066,34.876457,0,1
IL,1988,17,0.023406344,0.39500001,1,0,1,0,18212,35.033119,0,1
IL,1989,17,0.021501409,0.40000001,1,0,1,0,19427,35.150803,0,1
IL,1990,17,0.019067848,0.47099999,1,0,1,0,20494,35.420414,0,1
IL,1991,17,0.016949549,0.50400001,1,0,1,0,20966,35.419544,0,1
IL,1992,17,0.015791515,0.63999999,1,0,1,0,22209,35.515553,0,1
IL,1993,17,0.015519606,0.67000002,1,0,1,0,22895,35.593609,0,1
IL,1994,17,0.016833484,0.68300003,1,0,1,0,23956,35.626728,0,1
IL,1995,17,0.016838484,0.68699998,1,0,1,0,25135,35.671322,0,1
IL,1996,17,0.015269306,0.63999999,1,0,1,0,26393,35.72411,0,1
IL,1997,17,0.014065788,0.64199996,1,0,1,1,27688,35.783222,0,1
IN,1983,18,0.025503928,,0,0,1,0,11001,34.079983,0,0
IN,1984,18,0.02252033,,0,0,1,0,12199,34.293316,0,0
IN,1985,18,0.023883086,,0,0,1,0,12844,34.491764,0,0
IN,1986,18,0.025453653,0.19600001,0,0,1,0,13513,34.695549,0,0
IN,1987,18,0.023910973,0.36700001,1,0,1,0,14324,34.896015,0,1
IN,1988,18,0.021496752,0.44099998,1,0,1,0,15231,35.06287,0,1
IN,1989,18,0.01728004,0.461,1,0,1,0,16296,35.157269,0,1
IN,1990,18,0.019535542,0.47299999,1,0,1,0,17167,35.441704,0,1
IN,1991,18,0.018833155,0.51999998,1,0,1,0,17624,35.497704,0,1
IN,1992,18,0.015787076,0.56,1,0,1,0,18763,35.653187,0,1
IN,1993,18,0.014902168,0.56,1,0,1,0,19649,35.768398,0,1
IN,1994,18,0.015634056,0.56,1,0,1,0,20734,35.834755,0,1
IN,1995,18,0.014871731,0.63999999,1,0,1,0,21427,35.936184,0,1
IN,1996,18,0.014859559,0.62,1,0,1,0,22234,36.062847,0,1
IN,1997,18,0.013625765,0.63,1,0,1,0,23202,36.109341,0,1
KS,1983,20,0.022640886,,0,0,0,0,12273,34.970451,0,0
KS,1984,20,0.027247956,,0,0,0,0,13421,35.081535,0,0
KS,1985,20,0.025214007,0.098999999,0,0,1,0,14121,35.149773,0,0
KS,1986,20,0.025219409,0.236,0,0,1,0,14703,35.29528,0,1
KS,1987,20,0.023880161,0.42299998,1,0,1,0,15327,35.361591,0,1
KS,1988,20,0.022825008,0.48199999,1,0,1,0,16040,35.446934,0,1
KS,1989,20,0.019531785,0.51999998,1,0,1,0,16802,35.478081,0,1
KS,1990,20,0.019431923,0.57800001,1,0,1,0,17940,35.59708,0,1
KS,1991,20,0.017639956,0.63499999,1,0,1,0,18492,35.600468,0,1
KS,1992,20,0.016016223,0.70300001,1,0,1,0,19447,35.713921,0,1
KS,1993,20,0.017748289,0.69999999,1,0,1,1,20048,35.796101,0,1
KS,1994,20,0.017910689,0.69999999,1,0,1,1,20638,35.869053,0,1
KS,1995,20,0.017572457,0.54000002,1,1,1,1,21481,36.015465,0,1
KS,1996,20,0.018888289,0.54000002,1,1,1,1,22707,36.13588,0,1
KS,1997,20,0.018172221,0.56,1,1,1,1,23972,36.162933,0,1
KY,1983,21,0.029117856,0.059999999,0,0,1,0,9696,34.016823,0,0
KY,1984,21,0.026975779,0.07,0,0,1,0,10838,34.195854,0,0
KY,1985,21,0.024964936,0.090000004,0,0,1,0,11278,34.398811,0,0
KY,1986,21,0.027519485,0.13,0,0,1,0,11715,34.626438,0,0
KY,1987,21,0.027836412,0.20999999,1,0,1,0,12441,34.877712,0,0
KY,1988,21,0.026507244,,1,0,1,0,13187,35.1283,0,0
KY,1989,21,0.024001244,0.25999999,1,0,1,0,14204,35.336838,0,0
KY,1990,21,0.025238562,0.31999999,1,0,1,0,15085,35.59314,0,0
KY,1991,21,0.023457246,0.38999999,1,0,1,0,15719,35.668163,0,0
KY,1992,21,0.021412432,0.41,1,0,1,0,16677,35.791832,0,0
KY,1993,21,0.02199606,0.41999999,1,0,1,0,17207,35.916763,0,0
KY,1994,21,0.019536939,0.57999998,1,0,1,0,17872,35.99733,0,1
KY,1995,21,0.020659447,0.54000002,1,0,1,0,18601,36.156448,0,1
KY,1996,21,0.019771757,0.55000001,1,0,1,0,19475,36.319813,0,1
KY,1997,21,0.019145705,0.54000002,1,0,1,0,20570,36.368168,0,1
LA,1983,22,0.033837449,,0,0,0,0,10724,32.139961,0,0
LA,1984,22,0.030422945,,0,0,0,0,11421,32.271053,0,0
LA,1985,22,0.027903492,,0,0,0,0,11876,32.40501,0,0
LA,1986,22,0.031211279,0.12,0,0,0,0,11802,32.645462,0,0
LA,1987,22,0.026994346,0.34999999,1,0,1,0,12010,32.884274,0,1
LA,1988,22,0.026670896,0.36000001,1,0,1,0,12829,33.091408,0,1
LA,1989,22,0.023157673,0.41,1,0,1,0,13620,33.343727,0,1
LA,1990,22,0.025459951,0.43000001,1,0,1,0,14773,33.88932,0,1
LA,1991,22,0.024834342,0.41999999,1,0,1,0,15593,33.914463,0,1
LA,1992,22,0.026171979,0.5,1,0,1,0,16381,34.046806,0,1
LA,1993,22,0.024153393,0.47999999,1,0,1,0,17133,34.211136,0,1
LA,1994,22,0.022522042,0.5,1,0,1,0,18086,34.33136,0,1
LA,1995,22,0.023132455,0.58999997,1,0,1,0,18826,34.498936,0,1
LA,1996,22,0.023677647,0.63,1,0,1,0,19609,34.71262,0,1
LA,1997,22,0.023970135,0.67000002,1,0,1,0,20458,34.904129,0,1
MA,1983,25,0.01734104,,0,0,0,0,14009,35.906113,0,0
MA,1984,25,0.017280748,,0,0,0,0,15703,36.015579,0,0
MA,1985,25,0.018692059,0.2,0,0,1,0,16842,36.086281,0,0
MA,1986,25,0.018456252,0.34999999,0,0,1,0,18100,36.136421,0,0
MA,1987,25,0.01628649,0.25999999,0,0,1,0,19600,36.203148,0,0
MA,1988,25,0.016730512,,0,0,1,0,21417,36.251724,0,0
MA,1989,25,0.015060372,0.28999999,0,0,1,0,22634,36.26585,0,0
MA,1990,25,0.01311511,0.30000001,0,0,1,0,23210,36.462029,0,0
MA,1991,25,0.011861529,0.36000001,1,0,1,0,23590,36.542503,0,0
MA,1992,25,0.010243305,0.34,1,0,1,0,24538,36.732395,0,0
MA,1993,25,0.010174792,0.34,1,0,1,0,25333,36.840694,0,0
MA,1994,25,0.009363694,0.51999998,1,0,1,0,26433,36.953663,0,1
MA,1995,25,0.009239798,0.52999997,1,0,1,0,28097,37.099487,0,1
MA,1996,25,0.008327328,0.54000002,1,0,1,0,29591,37.255405,0,1
MA,1997,25,0.00873821,0.52999997,1,0,1,0,31239,37.382561,0,1
MD,1983,24,0.021425305,,0,0,1,0,13852,34.261845,0,0
MD,1984,24,0.020282632,,0,0,1,0,15279,34.404266,0,0
MD,1985,24,0.021867594,0.18000001,0,0,1,0,16454,34.544689,0,0
MD,1986,24,0.022267666,0.55000001,0,0,1,0,17461,34.638355,0,1
MD,1987,24,0.022305647,0.56,1,0,1,0,18665,34.727478,0,1
MD,1988,24,0.020827778,0.56999999,1,0,1,0,20079,34.759357,0,1
MD,1989,24,0.018652691,0.62,1,0,1,0,21469,34.821724,0,1
MD,1990,24,0.017441288,0.64999998,1,0,1,0,22482,35.064301,0,1
MD,1991,24,0.01678396,0.67000002,1,0,1,0,22877,35.12738,0,1
MD,1992,24,0.015729425,0.67000002,1,0,1,0,23548,35.29245,0,1
MD,1993,24,0.015377156,0.69999999,1,0,1,0,24283,35.409798,0,1
MD,1994,24,0.014740179,0.69999999,1,0,1,0,25329,35.553398,0,1
MD,1995,24,0.014950315,0.69999999,1,0,1,0,26141,35.676388,0,1
MD,1996,24,0.013163878,0.69999999,1,0,1,0,27298,35.892086,0,1
MD,1997,24,0.013109056,0.70999998,1,0,1,0,28674,35.997524,0,1
ME,1983,23,0.028268551,,0,0,0,0,10431,35.138546,0,0
ME,1984,23,0.024826109,,0,0,0,0,11500,35.317627,0,0
ME,1985,23,0.022205455,,0,0,1,0,12301,35.455265,0,0
ME,1986,23,0.021353023,,0,0,1,0,13272,35.588226,0,0
ME,1987,23,0.021549322,,1,0,1,0,14392,35.735584,0,0
ME,1988,23,0.022454171,,1,0,1,1,15537,35.839989,0,0
ME,1989,23,0.01652611,,1,0,1,1,16618,35.931435,0,0
ME,1990,23,0.017942887,0.34999999,1,0,1,1,17159,36.070671,0,0
ME,1991,23,0.017301038,0.36000001,1,0,1,1,17300,36.179688,0,0
ME,1992,23,0.01761172,0.36000001,1,0,1,1,18008,36.430031,0,0
ME,1993,23,0.015186341,0.36000001,1,0,1,1,18463,36.620628,0,0
ME,1994,23,0.015077392,0.36000001,1,0,1,1,19190,36.82917,0,0
ME,1995,23,0.014854237,0.5,1,0,1,1,19995,37.072159,0,0
ME,1996,23,0.013183556,0.5,1,0,1,1,20948,37.319294,0,1
ME,1997,23,0.014496036,0.61000001,1,0,1,1,21937,37.590435,0,1
MI,1983,26,0.02159231,,0,0,1,0,12143,33.73695,0,0
MI,1984,26,0.024121633,0.19499999,0,0,1,0,13460,33.975891,0,0
MI,1985,26,0.022922168,0.25999999,0,0,1,0,14540,34.167847,0,0
MI,1986,26,0.02229755,0.463,0,0,1,0,15338,34.339111,0,1
MI,1987,26,0.021160806,0.46450001,1,0,1,0,15899,34.514961,0,1
MI,1988,26,0.021925827,0.47999999,1,0,1,0,16950,34.657261,0,1
MI,1989,26,0.020515708,0.46700001,1,0,1,0,17987,34.770603,0,1
MI,1990,26,0.019373296,0.51700002,1,0,1,0,18699,34.965332,0,1
MI,1991,26,0.017343016,0.63999999,1,0,1,0,19022,35.048489,0,1
MI,1992,26,0.015435947,0.55400002,1,0,1,0,19861,35.248104,0,1
MI,1993,26,0.016502112,0.63999999,1,0,1,0,20939,35.388504,0,1
MI,1994,26,0.016681733,0.63599998,1,0,1,0,22338,35.558338,0,1
MI,1995,26,0.017852351,0.65599996,1,0,1,0,23407,35.70993,0,1
MI,1996,26,0.01668237,0.67199999,1,0,1,0,23996,35.875004,0,1
MI,1997,26,0.01575936,0.68099999,1,0,1,0,24956,35.999134,0,1
MN,1983,27,0.017866915,,0,0,0,0,12310,34.21225,0,0
MN,1984,27,0.018286936,,0,0,0,0,13975,34.375187,0,0
MN,1985,27,0.018600099,0.2,0,0,0,0,14756,34.493107,0,0
MN,1986,27,0.016890492,0.33000001,0,0,1,0,15526,34.626942,0,1
MN,1987,27,0.015070947,0.31999999,1,0,1,0,16479,34.765743,0,1
MN,1988,27,0.016791506,0.47,1,0,1,0,17115,34.834343,0,1
MN,1989,27,0.016152756,0.44,1,0,1,0,18404,34.892876,0,1
MN,1990,27,0.014532943,0.47,1,0,1,0,19348,35.001297,0,1
MN,1991,27,0.013527283,0.52999997,1,0,1,0,19845,35.072998,0,1
MN,1992,27,0.01411496,0.50999999,1,0,1,0,21126,35.172638,0,1
MN,1993,27,0.012744587,0.55000001,1,0,1,0,21488,35.284321,0,1
MN,1994,27,0.014913313,0.56999999,1,0,1,0,22802,35.402653,0,1
MN,1995,27,0.013546016,0.64999998,1,0,1,0,23736,35.54665,0,1
MN,1996,27,0.012954009,0.63999999,1,0,1,0,25235,35.689209,0,1
MN,1997,27,0.012409514,0.64999998,1,0,1,0,26243,35.776623,0,1
MO,1983,29,0.024929535,,0,0,1,0,11647,35.471172,0,0
MO,1984,29,0.02509407,,0,0,1,0,12860,35.545345,0,0
MO,1985,29,0.023699217,,0,0,1,0,13737,35.627445,0,0
MO,1986,29,0.027158355,,0,0,1,0,14383,35.728436,0,1
